I;time;file;args
4;0.0191;./datasets/Aleatórios/a75000.txt;['B', '100']
5;0.0146;./datasets/Aleatórios/a75000.txt;['B', '100']
0;0.0118;./datasets/Aleatórios/a75000.txt;['B', '1000']
1;0.0118;./datasets/Aleatórios/a75000.txt;['B', '1000']
2;0.0110;./datasets/Aleatórios/a75000.txt;['B', '1000']
3;0.0116;./datasets/Aleatórios/a75000.txt;['B', '1000']
4;0.0111;./datasets/Aleatórios/a75000.txt;['B', '1000']
5;0.0107;./datasets/Aleatórios/a75000.txt;['B', '1000']
0;10.200;./datasets/Aleatórios/a100000.txt;['I']
1;0.9981;./datasets/Aleatórios/a100000.txt;['I']
2;0.9901;./datasets/Aleatórios/a100000.txt;['I']
3;0.9975;./datasets/Aleatórios/a100000.txt;['I']
4;10.774;./datasets/Aleatórios/a100000.txt;['I']
5;0.9460;./datasets/Aleatórios/a100000.txt;['I']
0;0.1064;./datasets/Aleatórios/a100000.txt;['B', '10']
1;0.1215;./datasets/Aleatórios/a100000.txt;['B', '10']
2;0.1129;./datasets/Aleatórios/a100000.txt;['B', '10']
3;0.1051;./datasets/Aleatórios/a100000.txt;['B', '10']
4;0.0973;./datasets/Aleatórios/a100000.txt;['B', '10']
5;0.1223;./datasets/Aleatórios/a100000.txt;['B', '10']
0;0.0279;./datasets/Aleatórios/a100000.txt;['B', '100']
1;0.0232;./datasets/Aleatórios/a100000.txt;['B', '100']
2;0.0246;./datasets/Aleatórios/a100000.txt;['B', '100']
3;0.0284;./datasets/Aleatórios/a100000.txt;['B', '100']
4;0.0269;./datasets/Aleatórios/a100000.txt;['B', '100']
5;0.0262;./datasets/Aleatórios/a100000.txt;['B', '100']
0;0.0166;./datasets/Aleatórios/a100000.txt;['B', '1000']
1;0.0232;./datasets/Aleatórios/a100000.txt;['B', '1000']
2;0.0182;./datasets/Aleatórios/a100000.txt;['B', '1000']
3;0.0155;./datasets/Aleatórios/a100000.txt;['B', '1000']
4;0.0194;./datasets/Aleatórios/a100000.txt;['B', '1000']
5;0.0171;./datasets/Aleatórios/a100000.txt;['B', '1000']
0;40.034;./datasets/Aleatórios/a200000.txt;['I']
1;41.226;./datasets/Aleatórios/a200000.txt;['I']
2;44.184;./datasets/Aleatórios/a200000.txt;['I']
3;41.724;./datasets/Aleatórios/a200000.txt;['I']
4;38.394;./datasets/Aleatórios/a200000.txt;['I']
5;36.057;./datasets/Aleatórios/a200000.txt;['I']
0;0.3478;./datasets/Aleatórios/a200000.txt;['B', '10']
1;0.3460;./datasets/Aleatórios/a200000.txt;['B', '10']
2;0.3385;./datasets/Aleatórios/a200000.txt;['B', '10']
3;0.3691;./datasets/Aleatórios/a200000.txt;['B', '10']
4;0.3638;./datasets/Aleatórios/a200000.txt;['B', '10']
5;0.3427;./datasets/Aleatórios/a200000.txt;['B', '10']
0;0.0531;./datasets/Aleatórios/a200000.txt;['B', '100']
1;0.0556;./datasets/Aleatórios/a200000.txt;['B', '100']
2;0.0542;./datasets/Aleatórios/a200000.txt;['B', '100']
3;0.0547;./datasets/Aleatórios/a200000.txt;['B', '100']
4;0.0610;./datasets/Aleatórios/a200000.txt;['B', '100']
5;0.0606;./datasets/Aleatórios/a200000.txt;['B', '100']
0;0.0273;./datasets/Aleatórios/a200000.txt;['B', '1000']
1;0.0256;./datasets/Aleatórios/a200000.txt;['B', '1000']
2;0.0291;./datasets/Aleatórios/a200000.txt;['B', '1000']
3;0.0271;./datasets/Aleatórios/a200000.txt;['B', '1000']
4;0.0341;./datasets/Aleatórios/a200000.txt;['B', '1000']
5;0.0251;./datasets/Aleatórios/a200000.txt;['B', '1000']
0;225.800;./datasets/Aleatórios/a500000.txt;['I']
1;225.527;./datasets/Aleatórios/a500000.txt;['I']
2;224.211;./datasets/Aleatórios/a500000.txt;['I']
3;223.343;./datasets/Aleatórios/a500000.txt;['I']
4;225.393;./datasets/Aleatórios/a500000.txt;['I']
5;227.416;./datasets/Aleatórios/a500000.txt;['I']
0;22.708;./datasets/Aleatórios/a500000.txt;['B', '10']
1;22.297;./datasets/Aleatórios/a500000.txt;['B', '10']
2;24.231;./datasets/Aleatórios/a500000.txt;['B', '10']
3;28.455;./datasets/Aleatórios/a500000.txt;['B', '10']
4;33.340;./datasets/Aleatórios/a500000.txt;['B', '10']
5;24.730;./datasets/Aleatórios/a500000.txt;['B', '10']
0;0.2532;./datasets/Aleatórios/a500000.txt;['B', '100']
1;0.2676;./datasets/Aleatórios/a500000.txt;['B', '100']
2;0.2529;./datasets/Aleatórios/a500000.txt;['B', '100']
3;0.2475;./datasets/Aleatórios/a500000.txt;['B', '100']
4;0.3599;./datasets/Aleatórios/a500000.txt;['B', '100']
5;0.2688;./datasets/Aleatórios/a500000.txt;['B', '100']
0;0.1058;./datasets/Aleatórios/a500000.txt;['B', '1000']
1;0.0864;./datasets/Aleatórios/a500000.txt;['B', '1000']
2;0.0790;./datasets/Aleatórios/a500000.txt;['B', '1000']
3;0.0813;./datasets/Aleatórios/a500000.txt;['B', '1000']
4;0.0928;./datasets/Aleatórios/a500000.txt;['B', '1000']
5;0.0846;./datasets/Aleatórios/a500000.txt;['B', '1000']
0;648.704;./datasets/Aleatórios/a750000.txt;['I']
1;647.408;./datasets/Aleatórios/a750000.txt;['I']
2;508.576;./datasets/Aleatórios/a750000.txt;['I']
3;498.381;./datasets/Aleatórios/a750000.txt;['I']
4;490.267;./datasets/Aleatórios/a750000.txt;['I']
5;492.074;./datasets/Aleatórios/a750000.txt;['I']
0;48.862;./datasets/Aleatórios/a750000.txt;['B', '10']
1;48.411;./datasets/Aleatórios/a750000.txt;['B', '10']
2;50.719;./datasets/Aleatórios/a750000.txt;['B', '10']
3;51.284;./datasets/Aleatórios/a750000.txt;['B', '10']
4;48.883;./datasets/Aleatórios/a750000.txt;['B', '10']
5;48.646;./datasets/Aleatórios/a750000.txt;['B', '10']
0;0.5082;./datasets/Aleatórios/a750000.txt;['B', '100']
1;0.4921;./datasets/Aleatórios/a750000.txt;['B', '100']
2;0.4820;./datasets/Aleatórios/a750000.txt;['B', '100']
3;0.5031;./datasets/Aleatórios/a750000.txt;['B', '100']
4;0.4965;./datasets/Aleatórios/a750000.txt;['B', '100']
5;0.4770;./datasets/Aleatórios/a750000.txt;['B', '100']
0;0.1334;./datasets/Aleatórios/a750000.txt;['B', '1000']
1;0.1297;./datasets/Aleatórios/a750000.txt;['B', '1000']
2;0.1238;./datasets/Aleatórios/a750000.txt;['B', '1000']
3;0.1164;./datasets/Aleatórios/a750000.txt;['B', '1000']
4;0.1190;./datasets/Aleatórios/a750000.txt;['B', '1000']
5;0.1294;./datasets/Aleatórios/a750000.txt;['B', '1000']
0;921.993;./datasets/Aleatórios/a1000000.txt;['I']
1;1.000.709;./datasets/Aleatórios/a1000000.txt;['I']
2;902.250;./datasets/Aleatórios/a1000000.txt;['I']
3;906.423;./datasets/Aleatórios/a1000000.txt;['I']
4;1.014.121;./datasets/Aleatórios/a1000000.txt;['I']
5;1.514.533;./datasets/Aleatórios/a1000000.txt;['I']
0;148.072;./datasets/Aleatórios/a1000000.txt;['B', '10']
1;148.137;./datasets/Aleatórios/a1000000.txt;['B', '10']
2;149.518;./datasets/Aleatórios/a1000000.txt;['B', '10']
3;152.544;./datasets/Aleatórios/a1000000.txt;['B', '10']
4;162.811;./datasets/Aleatórios/a1000000.txt;['B', '10']
5;161.103;./datasets/Aleatórios/a1000000.txt;['B', '10']
0;15.873;./datasets/Aleatórios/a1000000.txt;['B', '100']
1;14.261;./datasets/Aleatórios/a1000000.txt;['B', '100']
2;14.225;./datasets/Aleatórios/a1000000.txt;['B', '100']
3;13.866;./datasets/Aleatórios/a1000000.txt;['B', '100']
4;14.479;./datasets/Aleatórios/a1000000.txt;['B', '100']
5;14.259;./datasets/Aleatórios/a1000000.txt;['B', '100']
0;0.2901;./datasets/Aleatórios/a1000000.txt;['B', '1000']
1;0.2792;./datasets/Aleatórios/a1000000.txt;['B', '1000']
2;0.2870;./datasets/Aleatórios/a1000000.txt;['B', '1000']
3;0.3416;./datasets/Aleatórios/a1000000.txt;['B', '1000']
4;0.3063;./datasets/Aleatórios/a1000000.txt;['B', '1000']
5;0.2816;./datasets/Aleatórios/a1000000.txt;['B', '1000']
0;2.345.962;./datasets/Aleatórios/a1250000.txt;['I']
1;2.152.066;./datasets/Aleatórios/a1250000.txt;['I']
2;1.449.679;./datasets/Aleatórios/a1250000.txt;['I']
3;1.451.564;./datasets/Aleatórios/a1250000.txt;['I']
4;1.420.348;./datasets/Aleatórios/a1250000.txt;['I']
5;1.431.363;./datasets/Aleatórios/a1250000.txt;['I']
0;146.227;./datasets/Aleatórios/a1250000.txt;['B', '10']
1;129.800;./datasets/Aleatórios/a1250000.txt;['B', '10']
2;126.895;./datasets/Aleatórios/a1250000.txt;['B', '10']
3;138.049;./datasets/Aleatórios/a1250000.txt;['B', '10']
4;148.794;./datasets/Aleatórios/a1250000.txt;['B', '10']
5;145.586;./datasets/Aleatórios/a1250000.txt;['B', '10']
0;12.633;./datasets/Aleatórios/a1250000.txt;['B', '100']
1;12.699;./datasets/Aleatórios/a1250000.txt;['B', '100']
2;12.640;./datasets/Aleatórios/a1250000.txt;['B', '100']
3;13.059;./datasets/Aleatórios/a1250000.txt;['B', '100']
4;13.176;./datasets/Aleatórios/a1250000.txt;['B', '100']
5;12.782;./datasets/Aleatórios/a1250000.txt;['B', '100']
0;0.2526;./datasets/Aleatórios/a1250000.txt;['B', '1000']
1;0.2301;./datasets/Aleatórios/a1250000.txt;['B', '1000']
2;0.2651;./datasets/Aleatórios/a1250000.txt;['B', '1000']
3;0.2290;./datasets/Aleatórios/a1250000.txt;['B', '1000']
4;0.2353;./datasets/Aleatórios/a1250000.txt;['B', '1000']
5;0.2613;./datasets/Aleatórios/a1250000.txt;['B', '1000']
