,index,I_var,time_var,file_var,args_var,num_instancias_var,nome_do_dataset_var,key,I_fixed,time_fixed,file_fixed,args_fixed,num_instancias_fixed,nome_do_dataset_fixed,delta
35,211,1,0.0041,./datasets/Aleatórios/a15000.txt,"['B', '1000']",15000,Aleatórios,"./datasets/Aleatórios/a15000.txt_['B', '1000']",1,0.0053,./datasets/Aleatórios/a15000.txt,"['B', '1000']",15000,Aleatórios,1.292682926829268
36,217,1,0.0841,./datasets/Aleatórios/a30000.txt,['I'],30000,Aleatórios,./datasets/Aleatórios/a30000.txt_['I'],1,20.571,./datasets/Aleatórios/a30000.txt,['I'],30000,Aleatórios,244.60166468489896
37,223,1,0.0125,./datasets/Aleatórios/a30000.txt,"['B', '10']",30000,Aleatórios,"./datasets/Aleatórios/a30000.txt_['B', '10']",1,0.2147,./datasets/Aleatórios/a30000.txt,"['B', '10']",30000,Aleatórios,17.176
38,229,1,0.0058,./datasets/Aleatórios/a30000.txt,"['B', '100']",30000,Aleatórios,"./datasets/Aleatórios/a30000.txt_['B', '100']",1,0.0292,./datasets/Aleatórios/a30000.txt,"['B', '100']",30000,Aleatórios,5.03448275862069
39,235,1,0.0063,./datasets/Aleatórios/a30000.txt,"['B', '1000']",30000,Aleatórios,"./datasets/Aleatórios/a30000.txt_['B', '1000']",1,0.0084,./datasets/Aleatórios/a30000.txt,"['B', '1000']",30000,Aleatórios,1.3333333333333333
40,241,1,0.2281,./datasets/Aleatórios/a50000.txt,['I'],50000,Aleatórios,./datasets/Aleatórios/a50000.txt_['I'],1,57.124,./datasets/Aleatórios/a50000.txt,['I'],50000,Aleatórios,250.43402016659363
41,247,1,0.0293,./datasets/Aleatórios/a50000.txt,"['B', '10']",50000,Aleatórios,"./datasets/Aleatórios/a50000.txt_['B', '10']",1,0.5803,./datasets/Aleatórios/a50000.txt,"['B', '10']",50000,Aleatórios,19.805460750853243
42,253,1,0.0112,./datasets/Aleatórios/a50000.txt,"['B', '100']",50000,Aleatórios,"./datasets/Aleatórios/a50000.txt_['B', '100']",1,0.0703,./datasets/Aleatórios/a50000.txt,"['B', '100']",50000,Aleatórios,6.276785714285714
43,259,1,0.0097,./datasets/Aleatórios/a50000.txt,"['B', '1000']",50000,Aleatórios,"./datasets/Aleatórios/a50000.txt_['B', '1000']",1,0.0136,./datasets/Aleatórios/a50000.txt,"['B', '1000']",50000,Aleatórios,1.402061855670103
44,265,1,0.5956,./datasets/Aleatórios/a75000.txt,['I'],75000,Aleatórios,./datasets/Aleatórios/a75000.txt_['I'],1,157.74,./datasets/Aleatórios/a75000.txt,['I'],75000,Aleatórios,264.8421759570181
