I;time;file;args1;0.0065;./datasets/Aleatórios/a100.txt;['I']
1;0.0024;./datasets/Ordenados/o2000.txt;['I'];;;
1;0.0024;./datasets/Ordenados/o2000.txt;['B', '10'];;;
1;0.0021;./datasets/Ordenados/o2000.txt;['B', '100'];;;
1;0.0025;./datasets/Ordenados/o2000.txt;['B', '1000'];;;
1;0.0028;./datasets/Ordenados/o5000.txt;['I'];;;
1;0.0026;./datasets/Ordenados/o5000.txt;['B', '10'];;;
1;0.0024;./datasets/Ordenados/o5000.txt;['B', '100'];;;
1;0.0032;./datasets/Ordenados/o5000.txt;['B', '1000'];;;
1;0.0027;./datasets/Ordenados/o7500.txt;['I'];;;
1;0.0036;./datasets/Ordenados/o7500.txt;['B', '10'];;;
1;0.0034;./datasets/Ordenados/o7500.txt;['B', '100'];;;
1;0.0034;./datasets/Ordenados/o7500.txt;['B', '1000'];;;
1;0.0036;./datasets/Ordenados/o10000.txt;['I'];;;
1;0.0033;./datasets/Ordenados/o10000.txt;['B', '10'];;;
1;0.0028;./datasets/Ordenados/o10000.txt;['B', '100'];;;
1;0.0038;./datasets/Ordenados/o10000.txt;['B', '1000'];;;
1;0.0053;./datasets/Ordenados/o15000.txt;['I'];;;
1;0.0036;./datasets/Ordenados/o15000.txt;['B', '10'];;;
1;0.0036;./datasets/Ordenados/o15000.txt;['B', '100'];;;
1;0.0042;./datasets/Ordenados/o15000.txt;['B', '1000'];;;
1;0.0074;./datasets/Ordenados/o30000.txt;['I'];;;
1;0.0052;./datasets/Ordenados/o30000.txt;['B', '10'];;;
1;0.0052;./datasets/Ordenados/o30000.txt;['B', '100'];;;
1;0.0067;./datasets/Ordenados/o30000.txt;['B', '1000'];;;
1;0.0072;./datasets/Ordenados/o50000.txt;['I'];;;
1;0.0072;./datasets/Ordenados/o50000.txt;['B', '10'];;;
1;0.0072;./datasets/Ordenados/o50000.txt;['B', '100'];;;
1;0.0084;./datasets/Ordenados/o50000.txt;['B', '1000'];;;
1;0.0104;./datasets/Ordenados/o75000.txt;['I'];;;
1;0.0110;./datasets/Ordenados/o75000.txt;['B', '10'];;;
1;0.0105;./datasets/Ordenados/o75000.txt;['B', '100'];;;
1;0.0138;./datasets/Ordenados/o75000.txt;['B', '1000'];;;
1;0.0163;./datasets/Ordenados/o100000.txt;['I'];;;
1;0.0149;./datasets/Ordenados/o100000.txt;['B', '10'];;;
1;0.0145;./datasets/Ordenados/o100000.txt;['B', '100'];;;
1;0.0151;./datasets/Ordenados/o100000.txt;['B', '1000'];;;
1;0.0244;./datasets/Ordenados/o200000.txt;['I'];;;
1;0.0282;./datasets/Ordenados/o200000.txt;['B', '10'];;;
1;0.0297;./datasets/Ordenados/o200000.txt;['B', '100'];;;
1;0.0298;./datasets/Ordenados/o200000.txt;['B', '1000'];;;
1;0.0551;./datasets/Ordenados/o500000.txt;['I'];;;
1;0.0656;./datasets/Ordenados/o500000.txt;['B', '10'];;;
1;0.0644;./datasets/Ordenados/o500000.txt;['B', '100'];;;
1;0.0661;./datasets/Ordenados/o500000.txt;['B', '1000'];;;
1;0.0825;./datasets/Ordenados/o750000.txt;['I'];;;
1;0.0930;./datasets/Ordenados/o750000.txt;['B', '10'];;;
1;0.0901;./datasets/Ordenados/o750000.txt;['B', '100'];;;
1;0.0956;./datasets/Ordenados/o750000.txt;['B', '1000'];;;
1;0.1096;./datasets/Ordenados/o1000000.txt;['I'];;;
1;0.1280;./datasets/Ordenados/o1000000.txt;['B', '10'];;;
1;0.1243;./datasets/Ordenados/o1000000.txt;['B', '100'];;;
1;0.1246;./datasets/Ordenados/o1000000.txt;['B', '1000'];;;
1;0.1241;./datasets/Ordenados/o1250000.txt;['I'];;;
1;0.1656;./datasets/Ordenados/o1250000.txt;['B', '10'];;;
1;0.1499;./datasets/Ordenados/o1250000.txt;['B', '100'];;;
1;0.1618;./datasets/Ordenados/o1250000.txt;['B', '1000'];;;
1;0.1726;./datasets/Ordenados/o1500000.txt;['I'];;;
1;0.1761;./datasets/Ordenados/o1500000.txt;['B', '10'];;;
1;0.1839;./datasets/Ordenados/o1500000.txt;['B', '100'];;;
1;0.1813;./datasets/Ordenados/o1500000.txt;['B', '1000'];;;
1;0.2074;./datasets/Ordenados/o2000000.txt;['I'];;;
